ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2016,3,LUNES,17,Tarde,Dias laborables,1
2016,7,JUEVES,13,Tarde,Dias laborables,2
2016,1,LUNES,18,Noche,Dias laborables,3
2016,4,SÁBADO,10,Mañana,Fines de semana,4
2016,5,DOMINGO,13,Tarde,Fines de semana,5
2016,5,MARTES,9,Mañana,Dias laborables,6
2016,1,DOMINGO,9,Mañana,Fines de semana,7
2016,4,JUEVES,15,Tarde,Dias laborables,8
2016,6,MIÉRCOLES,7,Mañana,Dias laborables,9
2016,10,DOMINGO,8,Mañana,Fines de semana,10
2016,11,JUEVES,7,Mañana,Dias laborables,11
2016,11,SÁBADO,17,Tarde,Fines de semana,12
2016,11,MARTES,11,Mañana,Dias laborables,13
2016,10,DOMINGO,12,Tarde,Fines de semana,14
2016,7,DOMINGO,9,Mañana,Fines de semana,15
2016,7,LUNES,18,Noche,Dias laborables,16
2016,10,DOMINGO,10,Mañana,Fines de semana,17
2016,1,JUEVES,7,Mañana,Dias laborables,18
2016,1,DOMINGO,4,Madrugada,Fines de semana,19
2016,1,SÁBADO,15,Tarde,Fines de semana,20
2016,2,LUNES,11,Mañana,Dias laborables,21
2016,4,SÁBADO,10,Mañana,Fines de semana,22
2016,4,MARTES,9,Mañana,Dias laborables,23
2016,5,DOMINGO,18,Noche,Fines de semana,24
2016,6,DOMINGO,12,Tarde,Fines de semana,25
2016,7,SÁBADO,9,Mañana,Fines de semana,26
2016,7,DOMINGO,22,Noche,Fines de semana,27
2016,9,MARTES,19,Noche,Dias laborables,28
2016,9,VIERNES,21,Noche,Dias laborables,29
2016,10,MIÉRCOLES,18,Noche,Dias laborables,30
2016,10,SÁBADO,5,Madrugada,Fines de semana,31
2016,10,VIERNES,17,Tarde,Dias laborables,32
2016,10,LUNES,11,Mañana,Dias laborables,33
2016,5,MIÉRCOLES,8,Mañana,Dias laborables,34
2016,11,SÁBADO,10,Mañana,Fines de semana,35
2016,8,MIÉRCOLES,13,Tarde,Dias laborables,36
2016,9,VIERNES,18,Noche,Dias laborables,37
2016,3,DOMINGO,14,Tarde,Fines de semana,38
2016,7,MARTES,12,Tarde,Dias laborables,39
2016,7,MIÉRCOLES,12,Tarde,Dias laborables,40
2016,8,LUNES,19,Noche,Dias laborables,41
2016,1,LUNES,9,Mañana,Dias laborables,42
2016,1,MARTES,22,Noche,Dias laborables,43
2016,1,LUNES,19,Noche,Dias laborables,44
2016,1,LUNES,17,Tarde,Dias laborables,45
2016,1,MARTES,22,Noche,Dias laborables,46
2016,1,MARTES,19,Noche,Dias laborables,47
2016,2,DOMINGO,3,Madrugada,Fines de semana,48
2016,2,DOMINGO,21,Noche,Fines de semana,49
2016,2,MIÉRCOLES,14,Tarde,Dias laborables,50
2016,2,LUNES,12,Tarde,Dias laborables,51
2016,2,LUNES,18,Noche,Dias laborables,52
2016,2,SÁBADO,21,Noche,Fines de semana,53
2016,2,JUEVES,11,Mañana,Dias laborables,54
2016,2,LUNES,10,Mañana,Dias laborables,55
2016,2,MIÉRCOLES,15,Tarde,Dias laborables,56
2016,3,MARTES,12,Tarde,Dias laborables,57
2016,3,MARTES,10,Mañana,Dias laborables,58
2016,3,SÁBADO,21,Noche,Fines de semana,59
2016,3,VIERNES,11,Mañana,Dias laborables,60
2016,3,JUEVES,9,Mañana,Dias laborables,61
2016,3,DOMINGO,10,Mañana,Fines de semana,62
2016,3,MARTES,12,Tarde,Dias laborables,63
2016,3,SÁBADO,21,Noche,Fines de semana,64
2016,3,MIÉRCOLES,14,Tarde,Dias laborables,65
2016,3,JUEVES,18,Noche,Dias laborables,66
2016,4,VIERNES,23,Noche,Dias laborables,67
2016,4,MARTES,14,Tarde,Dias laborables,68
2016,4,MIÉRCOLES,13,Tarde,Dias laborables,69
2016,4,LUNES,20,Noche,Dias laborables,70
2016,4,MARTES,17,Tarde,Dias laborables,71
2016,4,JUEVES,22,Noche,Dias laborables,72
2016,4,MARTES,13,Tarde,Dias laborables,73
2016,4,VIERNES,22,Noche,Dias laborables,74
2016,4,LUNES,7,Mañana,Dias laborables,75
2016,5,MARTES,14,Tarde,Dias laborables,76
2016,4,MIÉRCOLES,7,Mañana,Dias laborables,77
2016,4,VIERNES,8,Mañana,Dias laborables,78
2016,5,LUNES,7,Mañana,Dias laborables,79
2016,5,MARTES,13,Tarde,Dias laborables,80
2016,4,VIERNES,9,Mañana,Dias laborables,81
2016,5,SÁBADO,14,Tarde,Fines de semana,82
2016,5,DOMINGO,15,Tarde,Fines de semana,83
2016,5,SÁBADO,22,Noche,Fines de semana,84
2016,5,DOMINGO,19,Noche,Fines de semana,85
2016,5,MIÉRCOLES,8,Mañana,Dias laborables,86
2016,5,VIERNES,9,Mañana,Dias laborables,87
2016,6,MARTES,8,Mañana,Dias laborables,88
2016,6,VIERNES,9,Mañana,Dias laborables,89
2016,6,SÁBADO,17,Tarde,Fines de semana,90
2016,6,MIÉRCOLES,8,Mañana,Dias laborables,91
2016,6,MARTES,14,Tarde,Dias laborables,92
2016,7,DOMINGO,8,Mañana,Fines de semana,93
2016,7,JUEVES,20,Noche,Dias laborables,94
2016,7,MIÉRCOLES,8,Mañana,Dias laborables,95
2016,7,LUNES,21,Noche,Dias laborables,96
2016,7,MARTES,10,Mañana,Dias laborables,97
2016,6,MIÉRCOLES,15,Tarde,Dias laborables,98
2016,7,DOMINGO,22,Noche,Fines de semana,99
2016,7,DOMINGO,19,Noche,Fines de semana,100
2016,8,MIÉRCOLES,0,Madrugada,Dias laborables,101
2016,7,JUEVES,7,Mañana,Dias laborables,102
2016,7,VIERNES,15,Tarde,Dias laborables,103
2016,8,DOMINGO,21,Noche,Fines de semana,104
2016,8,MARTES,15,Tarde,Dias laborables,105
2016,8,VIERNES,8,Mañana,Dias laborables,106
2016,8,LUNES,16,Tarde,Dias laborables,107
2016,8,MARTES,11,Mañana,Dias laborables,108
2016,8,LUNES,12,Tarde,Dias laborables,109
2016,6,VIERNES,19,Noche,Dias laborables,110
2016,8,JUEVES,20,Noche,Dias laborables,111
2016,8,MARTES,22,Noche,Dias laborables,112
2016,8,LUNES,15,Tarde,Dias laborables,113
2016,9,VIERNES,0,Madrugada,Dias laborables,114
2016,9,MARTES,12,Tarde,Dias laborables,115
2016,9,VIERNES,16,Tarde,Dias laborables,116
2016,7,LUNES,14,Tarde,Dias laborables,117
2016,9,JUEVES,12,Tarde,Dias laborables,118
2016,9,SÁBADO,14,Tarde,Fines de semana,119
2016,9,LUNES,14,Tarde,Dias laborables,120
2016,9,MIÉRCOLES,14,Tarde,Dias laborables,121
2016,9,VIERNES,20,Noche,Dias laborables,122
2016,10,MARTES,23,Noche,Dias laborables,123
2016,10,SÁBADO,22,Noche,Fines de semana,124
2016,10,MARTES,19,Noche,Dias laborables,125
2016,10,VIERNES,11,Mañana,Dias laborables,126
2016,10,MARTES,10,Mañana,Dias laborables,127
2016,10,JUEVES,11,Mañana,Dias laborables,128
2016,10,VIERNES,7,Mañana,Dias laborables,129
2016,10,LUNES,13,Tarde,Dias laborables,130
2016,10,LUNES,8,Mañana,Dias laborables,131
2016,10,JUEVES,14,Tarde,Dias laborables,132
2016,11,LUNES,17,Tarde,Dias laborables,133
2016,11,MIÉRCOLES,11,Mañana,Dias laborables,134
2016,11,JUEVES,12,Tarde,Dias laborables,135
2016,11,JUEVES,13,Tarde,Dias laborables,136
2016,11,LUNES,16,Tarde,Dias laborables,137
2016,11,VIERNES,5,Madrugada,Dias laborables,138
2016,11,MARTES,21,Noche,Dias laborables,139
2016,11,SÁBADO,19,Noche,Fines de semana,140
2016,11,LUNES,16,Tarde,Dias laborables,141
2016,11,MARTES,18,Noche,Dias laborables,142
2016,11,VIERNES,22,Noche,Dias laborables,143
2016,11,LUNES,11,Mañana,Dias laborables,144
2016,11,VIERNES,12,Tarde,Dias laborables,145
2016,12,SÁBADO,14,Tarde,Fines de semana,146
2016,12,DOMINGO,15,Tarde,Fines de semana,147
2016,12,LUNES,12,Tarde,Dias laborables,148
2016,12,VIERNES,12,Tarde,Dias laborables,149
2016,12,SÁBADO,19,Noche,Fines de semana,150
2016,12,VIERNES,11,Mañana,Dias laborables,151
2016,12,MARTES,11,Mañana,Dias laborables,152
2016,1,MIÉRCOLES,12,Tarde,Dias laborables,153
2016,2,JUEVES,15,Tarde,Dias laborables,154
2016,2,VIERNES,15,Tarde,Dias laborables,155
2016,2,MARTES,11,Mañana,Dias laborables,156
2016,2,DOMINGO,8,Mañana,Fines de semana,157
2016,2,MARTES,17,Tarde,Dias laborables,158
2016,3,LUNES,10,Mañana,Dias laborables,159
2016,3,MIÉRCOLES,20,Noche,Dias laborables,160
2016,3,JUEVES,11,Mañana,Dias laborables,161
2016,3,LUNES,19,Noche,Dias laborables,162
2016,4,VIERNES,17,Tarde,Dias laborables,163
2016,4,SÁBADO,12,Tarde,Fines de semana,164
2016,4,DOMINGO,3,Madrugada,Fines de semana,165
2016,4,SÁBADO,12,Tarde,Fines de semana,166
2016,4,MARTES,12,Tarde,Dias laborables,167
2016,4,VIERNES,22,Noche,Dias laborables,168
2016,5,JUEVES,10,Mañana,Dias laborables,169
2016,6,MARTES,19,Noche,Dias laborables,170
2016,6,MIÉRCOLES,14,Tarde,Dias laborables,171
2016,7,JUEVES,7,Mañana,Dias laborables,172
2016,7,VIERNES,11,Mañana,Dias laborables,173
2016,8,LUNES,20,Noche,Dias laborables,174
2016,7,MARTES,21,Noche,Dias laborables,175
2016,7,JUEVES,17,Tarde,Dias laborables,176
2016,7,LUNES,8,Mañana,Dias laborables,177
2016,7,VIERNES,17,Tarde,Dias laborables,178
2016,8,MIÉRCOLES,14,Tarde,Dias laborables,179
2016,8,VIERNES,22,Noche,Dias laborables,180
2016,8,MIÉRCOLES,11,Mañana,Dias laborables,181
2016,9,JUEVES,17,Tarde,Dias laborables,182
2016,9,JUEVES,2,Madrugada,Dias laborables,183
2016,8,MIÉRCOLES,11,Mañana,Dias laborables,184
2016,9,LUNES,9,Mañana,Dias laborables,185
2016,8,LUNES,21,Noche,Dias laborables,186
2016,9,VIERNES,19,Noche,Dias laborables,187
2016,9,MARTES,15,Tarde,Dias laborables,188
2016,9,SÁBADO,23,Noche,Fines de semana,189
2016,9,JUEVES,9,Mañana,Dias laborables,190
2016,9,MIÉRCOLES,10,Mañana,Dias laborables,191
2016,10,MARTES,0,Madrugada,Dias laborables,192
2016,10,VIERNES,12,Tarde,Dias laborables,193
2016,10,DOMINGO,7,Mañana,Fines de semana,194
2016,10,MARTES,15,Tarde,Dias laborables,195
2016,11,MARTES,16,Tarde,Dias laborables,196
2016,10,SÁBADO,20,Noche,Fines de semana,197
2016,10,JUEVES,21,Noche,Dias laborables,198
2016,11,SÁBADO,17,Tarde,Fines de semana,199
2016,12,MARTES,16,Tarde,Dias laborables,200
2016,12,MIÉRCOLES,14,Tarde,Dias laborables,201
2016,2,DOMINGO,8,Mañana,Fines de semana,202
2016,2,MARTES,11,Mañana,Dias laborables,203
2016,4,DOMINGO,20,Noche,Fines de semana,204
2016,4,LUNES,9,Mañana,Dias laborables,205
2016,7,VIERNES,13,Tarde,Dias laborables,206
2016,8,VIERNES,15,Tarde,Dias laborables,207
2016,7,JUEVES,13,Tarde,Dias laborables,208
2016,1,DOMINGO,19,Noche,Fines de semana,209
2016,1,JUEVES,14,Tarde,Dias laborables,210
2016,1,MARTES,14,Tarde,Dias laborables,211
2016,1,MARTES,9,Mañana,Dias laborables,212
2016,1,DOMINGO,23,Noche,Fines de semana,213
2016,1,DOMINGO,17,Tarde,Fines de semana,214
2016,1,MARTES,21,Noche,Dias laborables,215
2016,1,DOMINGO,11,Mañana,Fines de semana,216
2016,1,JUEVES,7,Mañana,Dias laborables,217
2016,2,LUNES,0,Madrugada,Dias laborables,218
2016,2,JUEVES,9,Mañana,Dias laborables,219
2016,2,VIERNES,20,Noche,Dias laborables,220
2016,2,MARTES,15,Tarde,Dias laborables,221
2016,2,MIÉRCOLES,12,Tarde,Dias laborables,222
2016,3,DOMINGO,8,Mañana,Fines de semana,223
2016,2,LUNES,10,Mañana,Dias laborables,224
2016,3,VIERNES,21,Noche,Dias laborables,225
2016,2,SÁBADO,22,Noche,Fines de semana,226
2016,3,SÁBADO,19,Noche,Fines de semana,227
2016,3,LUNES,18,Noche,Dias laborables,228
2016,3,MARTES,8,Mañana,Dias laborables,229
2016,3,LUNES,17,Tarde,Dias laborables,230
2016,3,JUEVES,10,Mañana,Dias laborables,231
2016,4,MARTES,14,Tarde,Dias laborables,232
2016,4,DOMINGO,8,Mañana,Fines de semana,233
2016,4,LUNES,1,Madrugada,Dias laborables,234
2016,4,SÁBADO,7,Mañana,Fines de semana,235
2016,4,LUNES,10,Mañana,Dias laborables,236
2016,4,MARTES,13,Tarde,Dias laborables,237
2016,4,DOMINGO,13,Tarde,Fines de semana,238
2016,4,LUNES,18,Noche,Dias laborables,239
2016,4,VIERNES,7,Mañana,Dias laborables,240
2016,5,JUEVES,4,Madrugada,Dias laborables,241
2016,5,VIERNES,21,Noche,Dias laborables,242
2016,5,JUEVES,13,Tarde,Dias laborables,243
2016,5,JUEVES,7,Mañana,Dias laborables,244
2016,5,VIERNES,7,Mañana,Dias laborables,245
2016,5,MARTES,14,Tarde,Dias laborables,246
2016,5,DOMINGO,0,Madrugada,Fines de semana,247
2016,5,VIERNES,20,Noche,Dias laborables,248
2016,5,MIÉRCOLES,8,Mañana,Dias laborables,249
2016,5,MIÉRCOLES,9,Mañana,Dias laborables,250
2016,5,MIÉRCOLES,22,Noche,Dias laborables,251
2016,5,JUEVES,17,Tarde,Dias laborables,252
2016,6,MARTES,16,Tarde,Dias laborables,253
2016,6,JUEVES,20,Noche,Dias laborables,254
2016,5,MARTES,9,Mañana,Dias laborables,255
2016,6,DOMINGO,11,Mañana,Fines de semana,256
2016,6,MIÉRCOLES,16,Tarde,Dias laborables,257
2016,6,DOMINGO,1,Madrugada,Fines de semana,258
2016,6,VIERNES,7,Mañana,Dias laborables,259
2016,5,LUNES,11,Mañana,Dias laborables,260
2016,5,SÁBADO,14,Tarde,Fines de semana,261
2016,5,JUEVES,22,Noche,Dias laborables,262
2016,6,MIÉRCOLES,8,Mañana,Dias laborables,263
2016,6,VIERNES,5,Madrugada,Dias laborables,264
2016,6,MIÉRCOLES,8,Mañana,Dias laborables,265
2016,6,MARTES,17,Tarde,Dias laborables,266
2016,7,VIERNES,23,Noche,Dias laborables,267
2016,7,SÁBADO,22,Noche,Fines de semana,268
2016,5,MARTES,16,Tarde,Dias laborables,269
2016,6,DOMINGO,17,Tarde,Fines de semana,270
2016,6,MIÉRCOLES,16,Tarde,Dias laborables,271
2016,7,LUNES,11,Mañana,Dias laborables,272
2016,7,SÁBADO,11,Mañana,Fines de semana,273
2016,7,VIERNES,18,Noche,Dias laborables,274
2016,7,MIÉRCOLES,8,Mañana,Dias laborables,275
2016,7,LUNES,8,Mañana,Dias laborables,276
2016,7,MIÉRCOLES,9,Mañana,Dias laborables,277
2016,7,VIERNES,11,Mañana,Dias laborables,278
2016,7,LUNES,14,Tarde,Dias laborables,279
2016,7,DOMINGO,19,Noche,Fines de semana,280
2016,7,DOMINGO,11,Mañana,Fines de semana,281
2016,7,JUEVES,8,Mañana,Dias laborables,282
2016,8,LUNES,14,Tarde,Dias laborables,283
2016,8,MIÉRCOLES,16,Tarde,Dias laborables,284
2016,8,VIERNES,18,Noche,Dias laborables,285
2016,8,MARTES,13,Tarde,Dias laborables,286
2016,8,LUNES,23,Noche,Dias laborables,287
2016,8,VIERNES,19,Noche,Dias laborables,288
2016,9,JUEVES,16,Tarde,Dias laborables,289
2016,9,JUEVES,7,Mañana,Dias laborables,290
2016,9,SÁBADO,9,Mañana,Fines de semana,291
2016,9,LUNES,14,Tarde,Dias laborables,292
2016,9,MARTES,21,Noche,Dias laborables,293
2016,9,SÁBADO,19,Noche,Fines de semana,294
2016,9,MIÉRCOLES,10,Mañana,Dias laborables,295
2016,9,JUEVES,7,Mañana,Dias laborables,296
2016,9,MARTES,14,Tarde,Dias laborables,297
2016,9,LUNES,5,Madrugada,Dias laborables,298
2016,9,LUNES,11,Mañana,Dias laborables,299
2016,9,LUNES,8,Mañana,Dias laborables,300
2016,9,VIERNES,14,Tarde,Dias laborables,301
2016,9,MIÉRCOLES,9,Mañana,Dias laborables,302
2016,9,DOMINGO,1,Madrugada,Fines de semana,303
2016,9,JUEVES,14,Tarde,Dias laborables,304
2016,10,LUNES,9,Mañana,Dias laborables,305
2016,10,JUEVES,6,Mañana,Dias laborables,306
2016,10,JUEVES,17,Tarde,Dias laborables,307
2016,10,VIERNES,17,Tarde,Dias laborables,308
2016,10,VIERNES,18,Noche,Dias laborables,309
2016,10,MIÉRCOLES,10,Mañana,Dias laborables,310
2016,10,LUNES,11,Mañana,Dias laborables,311
2016,10,MARTES,2,Madrugada,Dias laborables,312
2016,10,JUEVES,19,Noche,Dias laborables,313
2016,10,JUEVES,21,Noche,Dias laborables,314
2016,10,DOMINGO,0,Madrugada,Fines de semana,315
2016,10,MIÉRCOLES,22,Noche,Dias laborables,316
2016,10,DOMINGO,10,Mañana,Fines de semana,317
2016,11,MARTES,12,Tarde,Dias laborables,318
2016,11,JUEVES,3,Madrugada,Dias laborables,319
2016,11,VIERNES,8,Mañana,Dias laborables,320
2016,11,MARTES,20,Noche,Dias laborables,321
2016,11,JUEVES,8,Mañana,Dias laborables,322
2016,11,LUNES,0,Madrugada,Dias laborables,323
2016,11,DOMINGO,11,Mañana,Fines de semana,324
2016,11,LUNES,15,Tarde,Dias laborables,325
2016,11,MARTES,14,Tarde,Dias laborables,326
2016,12,JUEVES,17,Tarde,Dias laborables,327
2016,11,MIÉRCOLES,19,Noche,Dias laborables,328
2016,12,JUEVES,18,Noche,Dias laborables,329
2016,12,JUEVES,19,Noche,Dias laborables,330
2016,12,SÁBADO,14,Tarde,Fines de semana,331
2016,12,LUNES,19,Noche,Dias laborables,332
2016,12,VIERNES,17,Tarde,Dias laborables,333
2016,12,MIÉRCOLES,22,Noche,Dias laborables,334
2016,12,MARTES,22,Noche,Dias laborables,335
2016,12,VIERNES,1,Madrugada,Dias laborables,336
2016,12,JUEVES,20,Noche,Dias laborables,337
2016,2,LUNES,16,Tarde,Dias laborables,338
2016,2,VIERNES,20,Noche,Dias laborables,339
2016,2,SÁBADO,6,Mañana,Fines de semana,340
2016,3,MIÉRCOLES,13,Tarde,Dias laborables,341
2016,3,VIERNES,12,Tarde,Dias laborables,342
2016,4,DOMINGO,1,Madrugada,Fines de semana,343
2016,4,MIÉRCOLES,17,Tarde,Dias laborables,344
2016,4,LUNES,14,Tarde,Dias laborables,345
2016,5,JUEVES,13,Tarde,Dias laborables,346
2016,5,DOMINGO,15,Tarde,Fines de semana,347
2016,5,LUNES,15,Tarde,Dias laborables,348
2016,6,DOMINGO,19,Noche,Fines de semana,349
2016,6,DOMINGO,20,Noche,Fines de semana,350
2016,7,LUNES,13,Tarde,Dias laborables,351
2016,9,SÁBADO,22,Noche,Fines de semana,352
2016,7,JUEVES,20,Noche,Dias laborables,353
2016,11,SÁBADO,13,Tarde,Fines de semana,354
2016,11,LUNES,22,Noche,Dias laborables,355
2016,12,VIERNES,16,Tarde,Dias laborables,356
2016,12,JUEVES,17,Tarde,Dias laborables,357
2016,12,JUEVES,14,Tarde,Dias laborables,358
2016,1,VIERNES,23,Noche,Dias laborables,359
2016,2,SÁBADO,2,Madrugada,Fines de semana,360
2016,1,LUNES,7,Mañana,Dias laborables,361
2016,1,LUNES,11,Mañana,Dias laborables,362
2016,1,JUEVES,13,Tarde,Dias laborables,363
2016,1,MIÉRCOLES,10,Mañana,Dias laborables,364
2016,5,SÁBADO,13,Tarde,Fines de semana,365
2016,7,SÁBADO,6,Mañana,Fines de semana,366
2016,7,DOMINGO,18,Noche,Fines de semana,367
2016,7,MIÉRCOLES,20,Noche,Dias laborables,368
2016,7,MIÉRCOLES,12,Tarde,Dias laborables,369
2016,7,MIÉRCOLES,6,Mañana,Dias laborables,370
2016,8,DOMINGO,17,Tarde,Fines de semana,371
2016,8,MIÉRCOLES,0,Madrugada,Dias laborables,372
2016,8,MIÉRCOLES,8,Mañana,Dias laborables,373
2016,7,LUNES,10,Mañana,Dias laborables,374
2016,4,SÁBADO,13,Tarde,Fines de semana,375
2016,8,MARTES,0,Madrugada,Dias laborables,376
2016,8,LUNES,22,Noche,Dias laborables,377
2016,9,MIÉRCOLES,9,Mañana,Dias laborables,378
2016,10,SÁBADO,9,Mañana,Fines de semana,379
2016,8,MARTES,13,Tarde,Dias laborables,380
2016,12,VIERNES,18,Noche,Dias laborables,381
2016,12,VIERNES,14,Tarde,Dias laborables,382
2016,12,JUEVES,16,Tarde,Dias laborables,383
2016,1,DOMINGO,9,Mañana,Fines de semana,384
2016,1,DOMINGO,11,Mañana,Fines de semana,385
2016,2,DOMINGO,12,Tarde,Fines de semana,386
2016,5,MIÉRCOLES,11,Mañana,Dias laborables,387
2016,6,DOMINGO,16,Tarde,Fines de semana,388
2016,6,MARTES,21,Noche,Dias laborables,389
2016,6,JUEVES,18,Noche,Dias laborables,390
2016,10,DOMINGO,11,Mañana,Fines de semana,391
2016,10,DOMINGO,6,Mañana,Fines de semana,392
2016,12,LUNES,4,Madrugada,Dias laborables,393
2016,12,VIERNES,20,Noche,Dias laborables,394
2016,7,LUNES,18,Noche,Dias laborables,395
2016,3,MARTES,8,Mañana,Dias laborables,396
2016,5,LUNES,12,Tarde,Dias laborables,397
2016,9,JUEVES,7,Mañana,Dias laborables,398
2016,11,DOMINGO,3,Madrugada,Fines de semana,399
2016,12,MIÉRCOLES,19,Noche,Dias laborables,400
2016,9,SÁBADO,10,Mañana,Fines de semana,401
2016,11,MIÉRCOLES,12,Tarde,Dias laborables,402
2016,2,VIERNES,18,Noche,Dias laborables,403
2016,4,VIERNES,17,Tarde,Dias laborables,404
2016,5,MARTES,7,Mañana,Dias laborables,405
2016,5,DOMINGO,11,Mañana,Fines de semana,406
2016,10,JUEVES,18,Noche,Dias laborables,407
2016,7,SÁBADO,10,Mañana,Fines de semana,408
2016,3,MARTES,9,Mañana,Dias laborables,409
2016,1,MARTES,18,Noche,Dias laborables,410
2016,5,DOMINGO,14,Tarde,Fines de semana,411
2016,10,JUEVES,10,Mañana,Dias laborables,412
2016,12,SÁBADO,17,Tarde,Fines de semana,413
2016,11,SÁBADO,9,Mañana,Fines de semana,414
2016,1,SÁBADO,13,Tarde,Fines de semana,415
2016,9,JUEVES,2,Madrugada,Dias laborables,416
2016,2,SÁBADO,13,Tarde,Fines de semana,417
2016,1,DOMINGO,19,Noche,Fines de semana,418
2016,1,MARTES,12,Tarde,Dias laborables,419
2016,1,SÁBADO,21,Noche,Fines de semana,420
2016,1,LUNES,10,Mañana,Dias laborables,421
2016,1,JUEVES,12,Tarde,Dias laborables,422
2016,1,JUEVES,17,Tarde,Dias laborables,423
2016,1,SÁBADO,4,Madrugada,Fines de semana,424
2016,1,LUNES,12,Tarde,Dias laborables,425
2016,1,VIERNES,0,Madrugada,Dias laborables,426
2016,1,MIÉRCOLES,11,Mañana,Dias laborables,427
2016,1,MIÉRCOLES,12,Tarde,Dias laborables,428
2016,1,JUEVES,8,Mañana,Dias laborables,429
2016,1,VIERNES,23,Noche,Dias laborables,430
2016,1,MIÉRCOLES,16,Tarde,Dias laborables,431
2016,1,JUEVES,15,Tarde,Dias laborables,432
2016,1,VIERNES,16,Tarde,Dias laborables,433
2016,1,SÁBADO,11,Mañana,Fines de semana,434
2016,1,SÁBADO,18,Noche,Fines de semana,435
2016,1,MIÉRCOLES,5,Madrugada,Dias laborables,436
2016,1,VIERNES,16,Tarde,Dias laborables,437
2016,2,JUEVES,7,Mañana,Dias laborables,438
2016,2,JUEVES,13,Tarde,Dias laborables,439
2016,2,VIERNES,15,Tarde,Dias laborables,440
2016,2,MIÉRCOLES,12,Tarde,Dias laborables,441
2016,2,LUNES,19,Noche,Dias laborables,442
2016,1,DOMINGO,12,Tarde,Fines de semana,443
2016,1,MIÉRCOLES,11,Mañana,Dias laborables,444
2016,2,VIERNES,21,Noche,Dias laborables,445
2016,2,JUEVES,18,Noche,Dias laborables,446
2016,1,VIERNES,14,Tarde,Dias laborables,447
2016,2,VIERNES,17,Tarde,Dias laborables,448
2016,2,LUNES,7,Mañana,Dias laborables,449
2016,2,DOMINGO,6,Mañana,Fines de semana,450
2016,2,LUNES,16,Tarde,Dias laborables,451
2016,2,LUNES,18,Noche,Dias laborables,452
2016,2,MARTES,1,Madrugada,Dias laborables,453
2016,2,DOMINGO,19,Noche,Fines de semana,454
2016,2,VIERNES,17,Tarde,Dias laborables,455
2016,3,JUEVES,17,Tarde,Dias laborables,456
2016,3,MIÉRCOLES,12,Tarde,Dias laborables,457
2016,3,VIERNES,15,Tarde,Dias laborables,458
2016,3,DOMINGO,6,Mañana,Fines de semana,459
2016,3,DOMINGO,20,Noche,Fines de semana,460
2016,3,DOMINGO,0,Madrugada,Fines de semana,461
2016,3,SÁBADO,10,Mañana,Fines de semana,462
2016,3,MARTES,17,Tarde,Dias laborables,463
2016,3,MARTES,21,Noche,Dias laborables,464
2016,3,JUEVES,12,Tarde,Dias laborables,465
2016,3,SÁBADO,9,Mañana,Fines de semana,466
2016,3,VIERNES,14,Tarde,Dias laborables,467
2016,3,JUEVES,20,Noche,Dias laborables,468
2016,3,VIERNES,12,Tarde,Dias laborables,469
2016,3,DOMINGO,13,Tarde,Fines de semana,470
2016,3,MARTES,9,Mañana,Dias laborables,471
2016,3,MARTES,13,Tarde,Dias laborables,472
2016,4,VIERNES,12,Tarde,Dias laborables,473
2016,4,SÁBADO,16,Tarde,Fines de semana,474
2016,4,VIERNES,17,Tarde,Dias laborables,475
2016,4,SÁBADO,18,Noche,Fines de semana,476
2016,4,DOMINGO,13,Tarde,Fines de semana,477
2016,4,DOMINGO,20,Noche,Fines de semana,478
2016,4,DOMINGO,5,Madrugada,Fines de semana,479
2016,4,MARTES,16,Tarde,Dias laborables,480
2016,3,JUEVES,10,Mañana,Dias laborables,481
2016,4,MARTES,9,Mañana,Dias laborables,482
2016,4,MARTES,22,Noche,Dias laborables,483
2016,4,MARTES,10,Mañana,Dias laborables,484
2016,4,LUNES,14,Tarde,Dias laborables,485
2016,4,VIERNES,9,Mañana,Dias laborables,486
2016,4,SÁBADO,3,Madrugada,Fines de semana,487
2016,4,MIÉRCOLES,10,Mañana,Dias laborables,488
2016,4,VIERNES,19,Noche,Dias laborables,489
2016,4,DOMINGO,2,Madrugada,Fines de semana,490
2016,4,JUEVES,18,Noche,Dias laborables,491
2016,4,MIÉRCOLES,8,Mañana,Dias laborables,492
2016,5,DOMINGO,0,Madrugada,Fines de semana,493
2016,4,MARTES,10,Mañana,Dias laborables,494
2016,4,MARTES,11,Mañana,Dias laborables,495
2016,4,MARTES,10,Mañana,Dias laborables,496
2016,4,VIERNES,11,Mañana,Dias laborables,497
2016,5,MARTES,21,Noche,Dias laborables,498
2016,5,MARTES,10,Mañana,Dias laborables,499
2016,5,MIÉRCOLES,9,Mañana,Dias laborables,500
2016,5,MIÉRCOLES,11,Mañana,Dias laborables,501
2016,5,JUEVES,14,Tarde,Dias laborables,502
2016,5,MIÉRCOLES,13,Tarde,Dias laborables,503
2016,5,MIÉRCOLES,7,Mañana,Dias laborables,504
2016,5,MIÉRCOLES,10,Mañana,Dias laborables,505
2016,5,MARTES,17,Tarde,Dias laborables,506
2016,5,JUEVES,8,Mañana,Dias laborables,507
2016,5,LUNES,9,Mañana,Dias laborables,508
2016,5,MIÉRCOLES,17,Tarde,Dias laborables,509
2016,5,MIÉRCOLES,19,Noche,Dias laborables,510
2016,5,VIERNES,15,Tarde,Dias laborables,511
